Zeta Potential,Power
-1.48e+2,5.71e-6
-1.46e+2,7.05e-6
-1.45e+2,8.54e-6
-1.43e+2,9.93e-6
-1.42e+2,1.26e-5
-1.40e+2,2.00e-5
-1.39e+2,3.16e-5
-1.38e+2,3.83e-5
-1.36e+2,3.24e-5
-1.35e+2,2.13e-5
-1.33e+2,2.08e-5
-1.32e+2,3.60e-5
-1.30e+2,5.35e-5
-1.29e+2,5.66e-5
-1.28e+2,4.63e-5
-1.26e+2,3.60e-5
-1.25e+2,2.94e-5
-1.23e+2,2.20e-5
-1.22e+2,1.56e-5
-1.20e+2,1.65e-5
-1.19e+2,2.43e-5
-1.18e+2,3.31e-5
-1.16e+2,4.00e-5
-1.15e+2,4.37e-5
-1.13e+2,3.99e-5
-1.12e+2,2.96e-5
-1.11e+2,2.58e-5
-1.09e+2,3.99e-5
-1.08e+2,6.81e-5
-1.06e+2,9.27e-5
-1.05e+2,1.30e-4
-1.03e+2,2.91e-4
-1.02e+2,6.46e-4
-1.01e+2,1.01e-3
-9.92e+1,1.23e-3
-9.77e+1,1.58e-3
-9.63e+1,2.27e-3
-9.49e+1,2.76e-3
-9.35e+1,2.48e-3
-9.20e+1,2.01e-3
-9.06e+1,2.08e-3
-8.92e+1,2.74e-3
-8.78e+1,5.44e-3
-8.63e+1,1.27e-2
-8.49e+1,2.22e-2
-8.35e+1,2.94e-2
-8.21e+1,4.08e-2
-8.06e+1,6.91e-2
-7.92e+1,1.03e-1
-7.78e+1,1.09e-1
-7.64e+1,8.39e-2
-7.50e+1,6.12e-2
-7.35e+1,6.05e-2
-7.21e+1,8.09e-2
-7.07e+1,1.35e-1
-6.93e+1,2.37e-1
-6.78e+1,3.61e-1
-6.64e+1,4.48e-1
-6.50e+1,4.91e-1
-6.36e+1,5.98e-1
-6.21e+1,8.34e-1
-6.07e+1,1.00e+0
-5.93e+1,9.00e-1
-5.79e+1,6.88e-1
-5.65e+1,5.96e-1
-5.50e+1,5.80e-1
-5.36e+1,5.16e-1
-5.22e+1,4.19e-1
-5.08e+1,3.45e-1
-4.93e+1,2.98e-1
-4.79e+1,2.55e-1
-4.65e+1,2.05e-1
-4.51e+1,1.62e-1
-4.36e+1,1.47e-1
-4.22e+1,1.47e-1
-4.08e+1,1.30e-1
-3.94e+1,8.83e-2
-3.80e+1,4.46e-2
-3.65e+1,1.89e-2
-3.51e+1,9.55e-3
-3.37e+1,7.00e-3
-3.23e+1,6.28e-3
-3.08e+1,5.50e-3
-2.94e+1,4.50e-3
-2.80e+1,4.00e-3
-2.66e+1,3.79e-3
-2.51e+1,3.16e-3
-2.37e+1,2.26e-3
-2.23e+1,1.53e-3
-2.09e+1,1.06e-3
-1.95e+1,8.38e-4
-1.80e+1,8.24e-4
-1.66e+1,7.94e-4
-1.52e+1,5.91e-4
-1.38e+1,3.43e-4
-1.23e+1,2.14e-4
-1.09e+1,1.90e-4
-9.49e+0,1.83e-4
-8.06e+0,1.56e-4
-6.64e+0,1.20e-4
-5.22e+0,9.96e-5
-3.80e+0,1.15e-4
-2.37e+0,1.89e-4
-9.49e-1,3.10e-4
4.74e-1,3.77e-4
1.90e+0,3.18e-4
3.32e+0,2.04e-4
4.74e+0,1.22e-4
6.17e+0,7.13e-5
7.59e+0,3.84e-5
9.01e+0,2.89e-5
1.04e+1,3.57e-5
1.19e+1,4.43e-5
1.33e+1,4.88e-5
1.47e+1,4.99e-5
1.61e+1,4.81e-5
1.76e+1,4.19e-5
1.90e+1,3.24e-5
2.04e+1,2.47e-5
2.18e+1,2.16e-5
2.32e+1,2.07e-5
2.47e+1,2.81e-5
2.61e+1,6.97e-5
2.75e+1,1.54e-4
2.89e+1,2.21e-4
3.04e+1,2.01e-4
3.18e+1,1.18e-4
3.32e+1,5.31e-5
3.46e+1,3.75e-5
3.61e+1,4.60e-5
3.75e+1,7.18e-5
3.89e+1,1.57e-4
4.03e+1,3.07e-4
4.17e+1,4.24e-4
4.32e+1,4.37e-4
4.46e+1,3.96e-4
4.60e+1,3.39e-4
4.74e+1,2.62e-4
4.89e+1,2.25e-4
5.03e+1,2.86e-4
5.17e+1,3.86e-4
5.31e+1,4.42e-4
5.46e+1,4.88e-4
5.60e+1,5.66e-4
5.74e+1,6.43e-4
5.88e+1,7.67e-4
6.02e+1,1.02e-3
6.17e+1,1.27e-3
6.31e+1,1.29e-3
6.45e+1,1.09e-3
6.59e+1,8.49e-4
6.74e+1,6.52e-4
6.88e+1,4.86e-4
7.02e+1,3.44e-4
7.16e+1,2.33e-4
7.31e+1,1.52e-4
7.45e+1,9.22e-5
7.59e+1,5.26e-5
7.73e+1,2.88e-5
7.88e+1,1.63e-5
8.02e+1,1.21e-5
8.16e+1,1.18e-5
8.30e+1,1.17e-5
8.44e+1,1.10e-5
8.59e+1,1.02e-5
8.73e+1,8.95e-6
8.87e+1,6.96e-6
9.01e+1,5.21e-6
9.16e+1,4.23e-6
9.30e+1,3.46e-6
9.44e+1,2.55e-6
9.58e+1,1.77e-6
9.73e+1,1.47e-6
9.87e+1,1.80e-6
1.00e+2,2.74e-6
1.02e+2,3.82e-6
1.03e+2,4.20e-6
1.04e+2,3.62e-6
1.06e+2,2.78e-6
1.07e+2,2.20e-6
1.09e+2,1.93e-6
1.10e+2,1.96e-6
1.11e+2,2.03e-6
1.13e+2,1.76e-6
1.14e+2,1.20e-6
1.16e+2,7.75e-7
1.17e+2,7.68e-7
1.19e+2,1.14e-6
1.20e+2,1.60e-6
1.21e+2,1.77e-6
1.23e+2,1.69e-6
1.24e+2,1.74e-6
1.26e+2,1.91e-6
1.27e+2,1.91e-6
1.29e+2,1.72e-6
1.30e+2,1.57e-6
1.31e+2,1.39e-6
1.33e+2,1.07e-6
1.34e+2,8.62e-7
1.36e+2,1.03e-6
1.37e+2,1.36e-6
1.39e+2,1.54e-6
1.40e+2,1.64e-6
1.41e+2,1.89e-6
1.43e+2,2.20e-6
1.44e+2,2.28e-6
1.46e+2,2.06e-6
1.47e+2,1.62e-6
1.48e+2,1.06e-6
1.50e+2,4.23e-7
